fecha,humedad,tmax
2025-02-25 00:00:00,77.39338526421729,10.918372345276774
2025-02-25 01:00:00,77.59474470830361,10.73325889028538
2025-02-25 02:00:00,77.83767777663431,10.524581437599602
2025-02-25 03:00:00,77.76703880134932,10.35461062084172
2025-02-25 04:00:00,77.46146312760666,10.23455259785995
2025-02-25 05:00:00,77.30859323168255,10.14282066133984
2025-02-25 06:00:00,77.49406511523671,10.10980808086914
2025-02-25 07:00:00,77.65947409986501,10.258130515863884
2025-02-25 08:00:00,77.12531972934362,10.727131865156982
2025-02-25 09:00:00,72.00563927333104,12.244434936868377
2025-02-25 10:00:00,69.60996754290788,13.22357832360411
2025-02-25 11:00:00,67.26682091621646,14.104464493527775
2025-02-25 12:00:00,65.67877282567274,14.692388581101593
2025-02-25 13:00:00,64.9517869682494,14.979266925905582
2025-02-25 14:00:00,64.70912701267619,15.09296127954674
2025-02-25 15:00:00,64.63593610311112,15.136110799570446
2025-02-25 16:00:00,64.87519635849932,15.070993290326788
2025-02-25 17:00:00,65.85950333216807,14.7615332499391
2025-02-25 18:00:00,67.74791675843693,14.131022087007596
2025-02-25 19:00:00,70.05542027769306,13.281384638914792
2025-02-25 20:00:00,75.38750771117536,11.746266794032325
2025-02-25 21:00:00,76.11792928204095,11.162477859459775
2025-02-25 22:00:00,75.8499414331569,10.87060870058247
2025-02-25 23:00:00,75.27798851333226,10.75066311971081
